email,fax,form,govxcontentsection,govxdescription,language,managername,mmdOfficesTypes,mmdOfficesTypes_tid,nid,officenamecode,officetypecode,payments,receptionaddressnotes,receptionphonenumbers,title,websiteurl
lishca@j-v.org.il,04-6757641,"{""onlineurl"": ""~"", ""email"": ""lishca@j-v.org.il"", ""fax"": ""04-6757641"", ""letter"": ""\u05db\u05ea\u05d5\u05d1\u05ea \u05dc\u05de\u05db\u05ea\u05d1\u05d9\u05dd:\r\n\u05de\u05d1\u05e7\u05e8 \u05e4\u05e0\u05d9\u05dd\r\n\u05de.\u05d0. \u05e2\u05de\u05e7 \u05d4\u05d9\u05e8\u05d3\u05df\r\n15132\r\n""}","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק<span dir=""LTR"">.</span></p>",,he,אפרת מראד,ועדים מקומיים,371,6007,14039,14,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd \u05d8\u05d1\u05e8\u05d9\u05d4\r\n\u05d7\u05e9\u05d1\u05d5\u05df \u05de\u05e1' 21902\r\n\u05e1\u05e0\u05d9\u05e3 12/723\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd \u05d8\u05d1\u05e8\u05d9\u05d4\r\n\u05d7\u05e9\u05d1\u05d5\u05df \u05de\u05e1' 21902\r\n\u05e1\u05e0\u05d9\u05e3 12/723\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132",04-6757600,האון,"{""url"": """", ""title"": """"}"
lilach@enviosh.org.il,02-5900041,"{""onlineurl"": ""~"", ""email"": ""lilach@enviosh.org.il"", ""fax"": ""02-5900041"", ""letter"": ""\u05d2\u05d1\u05e2\u05ea \u05d4\u05de\u05d9\u05d9\u05e1\u05d3\u05d9\u05dd \u05de\u05e2\u05dc\u05d4 \u05d0\u05d3\u05d5\u05de\u05d9\u05dd  90610""}",,,he,לילך מובדלי,איגוד ערים,374,4199,1516,15,"{""onlineurl"": """", ""banktransfer"": ""\u05e4\u05e8\u05d8\u05d9 \u05d7\u05e9\u05d1\u05d5\u05df \u05d1\u05e0\u05e7 \u05dc\u05e6\u05d5\u05e8\u05da \u05ea\u05e9\u05dc\u05d5\u05dd \u05d4\u05d0\u05d2\u05e8\u05d5\u05ea \u2013 \u05d1\u05e0\u05e7  \u05dc\u05d0\u05d5\u05de\u05d9   - \u05de\u05e2\u05dc\u05d4 \u05d0\u05d3\u05d5\u05de\u05d9\u05dd\r\n\u05e1\u05e0\u05d9\u05e3 752  \u05d7-\u05df   10230030\r\n\r\n"", ""postalbank"": ""\u05e4\u05e8\u05d8\u05d9 \u05d7\u05e9\u05d1\u05d5\u05df \u05d1\u05e0\u05e7 \u05dc\u05e6\u05d5\u05e8\u05da \u05ea\u05e9\u05dc\u05d5\u05dd \u05d4\u05d0\u05d2\u05e8\u05d5\u05ea \u2013 \u05d1\u05e0\u05e7  \u05dc\u05d0\u05d5\u05de\u05d9   - \u05de\u05e2\u05dc\u05d4 \u05d0\u05d3\u05d5\u05de\u05d9\u05dd\r\n\u05e1\u05e0\u05d9\u05e3 752  \u05d7-\u05df   10230030\r\n\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}",גבעת המייסדים מעלה אדומים  90610,02-5900090,יהודה (איכות הסביבה),"{""url"": """", ""title"": """"}"
lishca@j-v.org.il,04-6757641,"{""onlineurl"": ""~"", ""email"": ""lishca@j-v.org.il"", ""fax"": ""04-6757641"", ""letter"": ""\u05db\u05ea\u05d5\u05d1\u05ea \u05dc\u05de\u05db\u05ea\u05d1\u05d9\u05dd:\r\n\u05de\u05d1\u05e7\u05e8 \u05e4\u05e0\u05d9\u05dd\r\n\u05de.\u05d0. \u05e2\u05de\u05e7 \u05d4\u05d9\u05e8\u05d3\u05df\r\n15132\r\n""}","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק<span dir=""LTR"">.</span></p>",,he,אפרת מראד,ועדים מקומיים,371,6010,14042,14,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd \u05d8\u05d1\u05e8\u05d9\u05d4\r\n\u05d7\u05e9\u05d1\u05d5\u05df \u05de\u05e1' 21902\r\n\u05e1\u05e0\u05d9\u05e3 12/723\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd \u05d8\u05d1\u05e8\u05d9\u05d4\r\n\u05d7\u05e9\u05d1\u05d5\u05df \u05de\u05e1' 21902\r\n\u05e1\u05e0\u05d9\u05e3 12/723\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132",04-6757600,כנרת (קבוצה),"{""url"": """", ""title"": """"}"
lishca@j-v.org.il,04-6757641,"{""onlineurl"": ""~"", ""email"": ""lishca@j-v.org.il"", ""fax"": ""04-6757641"", ""letter"": ""\u05db\u05ea\u05d5\u05d1\u05ea \u05dc\u05de\u05db\u05ea\u05d1\u05d9\u05dd:\r\n\u05de\u05d1\u05e7\u05e8 \u05e4\u05e0\u05d9\u05dd\r\n\u05de.\u05d0. \u05e2\u05de\u05e7 \u05d4\u05d9\u05e8\u05d3\u05df\r\n15132\r\n""}","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק<span dir=""LTR"">.</span></p>",,he,אפרת מראד,ועדים מקומיים,371,6022,14054,14,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd \u05d8\u05d1\u05e8\u05d9\u05d4\r\n\u05d7\u05e9\u05d1\u05d5\u05df \u05de\u05e1' 21902\r\n\u05e1\u05e0\u05d9\u05e3 12/723\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd \u05d8\u05d1\u05e8\u05d9\u05d4\r\n\u05d7\u05e9\u05d1\u05d5\u05df \u05de\u05e1' 21902\r\n\u05e1\u05e0\u05d9\u05e3 12/723\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132",04-6757600,מפעלי צמח,"{""url"": """", ""title"": """"}"
davidd@ashdod.muni.il,08-8545026,"{""onlineurl"": ""~"", ""email"": ""davidd@ashdod.muni.il"", ""fax"": ""08-8545026"", ""letter"": ""\u05e8\u05d7' \u05d4\u05d2\u05d3\u05d5\u05d3 \u05d4\u05e2\u05d1\u05e8\u05d9 10, \u05ea.\u05d3. 28, \u05d0\u05e9\u05d3\u05d5\u05d3 7710001""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,und,"עו""ד דוד דבש",רשות מקומית,60,808,4000,4,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 \u05d0\u05e9\u05d3\u05d5\u05d3 ( \u05de\u05e8\u05db\u05d6 \u05de\u05e1\u05d7\u05e8\u05d9 \u05d0')- \u05e1\u05e0\u05d9\u05e3 932. \u05de\u05e1\u05e4\u05e8 \u05d7\u05e9\u05d1\u05d5\u05df: 700100/04."", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 \u05d0\u05e9\u05d3\u05d5\u05d3 ( \u05de\u05e8\u05db\u05d6 \u05de\u05e1\u05d7\u05e8\u05d9 \u05d0')- \u05e1\u05e0\u05d9\u05e3 932. \u05de\u05e1\u05e4\u05e8 \u05d7\u05e9\u05d1\u05d5\u05df: 700100/04."", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","רח' הגדוד העברי 10, ת.ד. 28, אשדוד 7710001",08-8545498,עיריית אשדוד,"{""url"": ""http://edu.ashdod.muni.il"", ""title"": ""http://edu.ashdod.muni.il""}"
robert@mtoaq.co.il,,"{""onlineurl"": ""~"", ""email"": ""robert@mtoaq.co.il"", ""fax"": """", ""letter"": ""\u05e8\u05d7' \u05d1\u05dc\u05e4\u05d5\u05e8 17, \u05d0\u05d5\u05e8 \u05e2\u05e7\u05d9\u05d1\u05d0 3060000""}","<p dir=""RTL"">חברות עירוניות הן תאגידים עירוניים המוקמים על ידי רשויות מקומיות ומנוהלים על ידי אנשי מקצוע ונציגי ציבור, בבעלות מלאה או חלקית של הרשות המקומית.</p><p dir=""RTL"">החברות העירוניות מעניקות שירות לתושבים בתחומה של הרשות המקומית במגוון תחומים כגון תרבות וספורט או מקדמים פרויקטים על בסיס עסקי לתועלת הציבור.</p><p dir=""RTL"">חוק חופש המידע חל על חברות עירוניות שלרשות המקומית יש למעלה ממחצית כוח ההצבעה בהן. על אף הזיקה ההדוקה בין הרשות המקומית לבין החברות העירוניות שבשליטתה, חוק חופש המידע רואה בחברה העירונית כרשות ציבורית נפרדת וחלים עליה כל החובות על פי החוק.</p>",,und,רוברט אברמוב,חברה עירונית,325,1193,10019,10,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 673, \u05d7\u05e9\u05d1\u05d5\u05df 341771"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 673, \u05d7\u05e9\u05d1\u05d5\u05df 341771"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","רח' בלפור 17, אור עקיבא 3060000",04-6264360,א.ב. מנהלת אזורי תעסוקה אור עקיבא בעמ,"{""url"": """", ""title"": """"}"
schaffer@atcc.co.il,03-6242084,"{""onlineurl"": ""~"", ""email"": ""schaffer@atcc.co.il"", ""fax"": ""03-6242084"", ""letter"": ""\u05e8\u05d7' \u05d0\u05d9\u05e1\u05e8\u05dc\u05d9\u05e9 22, \u05ea\u05dc-\u05d0\u05d1\u05d9\u05d1 6701457""}","<p>חברת א.ת אפיקי תקשורת בע""מ עוסקת ביעוץ בנושא תקשורת לווינית.</p>",,und,אליעזר שפר,חברה ממשלתית,47,567,6009,6,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 558, \u05d7\u05e9\u05d1\u05d5\u05df 296823"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd, \u05e1\u05e0\u05d9\u05e3 558, \u05d7\u05e9\u05d1\u05d5\u05df 296823"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","רח' איסרליש 22, תל-אביב 6701457",03-7649402,א.ת. אפיקי תקשורת בעמ,"{""url"": """", ""title"": """"}"
slman@nevemidbar.org.il,08-6651181,"{""onlineurl"": ""~"", ""email"": ""slman@nevemidbar.org.il"", ""fax"": ""08-6651181"", ""letter"": ""\u05e9\u05d3' \u05d9\u05e6\u05d7\u05e7 \u05e8\u05d2\u05e8 11, \u05e7\u05d5\u05de\u05d4 \u05d2', \u05d1\u05d0\u05e8 \u05e9\u05d1\u05e2 8489507\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>,,he,סלמאן אבן חמיד,ועדים מקומיים,371,3818,13844,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 775, \u05d7\u05e9\u05d1\u05d5\u05df 118500/44\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 775, \u05d7\u05e9\u05d1\u05d5\u05df 118500/44\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","שד' יצחק רגר 11, קומה ג', באר שבע 8489507",08-6202597,אבו קורינאת,"{""url"": ""www.nevemidbar.org.il"", ""title"": ""www.nevemidbar.org.il""}"
slman@nevemidbar.org.il,08-6651181,"{""onlineurl"": ""~"", ""email"": ""slman@nevemidbar.org.il"", ""fax"": ""08-6651181"", ""letter"": ""\u05e9\u05d3' \u05d9\u05e6\u05d7\u05e7 \u05e8\u05d2\u05e8 11, \u05e7\u05d5\u05de\u05d4 \u05d2', \u05d1\u05d0\u05e8 \u05e9\u05d1\u05e2 8489507\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>,,he,סלמאן אבן חמיד,ועדים מקומיים,371,3819,13845,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 775, \u05d7\u05e9\u05d1\u05d5\u05df 118500/44\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 775, \u05d7\u05e9\u05d1\u05d5\u05df 118500/44\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","שד' יצחק רגר 11, קומה ג', באר שבע 8489507",08-6202597,אבו תלול,"{""url"": ""www.nevemidbar.org.il"", ""title"": ""www.nevemidbar.org.il""}"
kerenr@zvulun.co.il,04-8478156,"{""onlineurl"": ""~"", ""email"": ""kerenr@zvulun.co.il"", ""fax"": ""04-8478156"", ""letter"": ""\u05d3\u05d5\u05d0\u05e8 \u05db\u05e4\u05e8 \u05d4\u05de\u05db\u05d1\u05d9 3003000\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>,,he,"עו""ד קרן רוזליס",ועדים מקומיים,371,3139,13221,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 897, \u05d7\u05e9\u05d1\u05d5\u05df 070100/27\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 897, \u05d7\u05e9\u05d1\u05d5\u05df 070100/27\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}",דואר כפר המכבי 3003000,04-8478155,אבטין,"{""url"": ""www.zvulun.org.il"", ""title"": ""www.zvulun.org.il""}"
