Title,Published,MMDOfficesTypes,GovXDescription,ManagerName,Email,Fax,ReceptionAddressNotes,ReceptionPhoneNumbers,websiteURL,PaymentBankTransfer,GovXContentSection,FormEmail,FormFax,FormLetter,FormOnlineURL,forWizard,MMDSubjects,MMDTypes,OfficeIcon,OfficeNameCode,OfficeTypeCode,PaymentCash,PaymentCheck,PaymentOnlineURL,PaymentPhone,PaymentPostalBank,PaymentTreasury
מפעלי מישור רותם,Yes,ועדים מקומיים,,יעקב אקריש,Akrish@ma-tamar.co.il,08-6688944,נווה זוהר ד.נ ים המלח 86910,08-6688844,,10/607/83970027 על שם מועצה אזורית תמר,"<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",Akrish@ma-tamar.co.il,08-6688944,נווה זוהר ד.נ ים המלח 86910,~,Yes,,,,14063,13,,,,,10/607/83970027 על שם מועצה אזורית תמר,
מפעלי ים המלח(סדום),Yes,ועדים מקומיים,,יעקב אקריש,Akrish@ma-tamar.co.il,08-6688944,נווה זוהר ד.נ ים המלח 86910,08-6688844,,10/607/83970027 על שם מועצה אזורית תמר,"<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",Akrish@ma-tamar.co.il,08-6688944,נווה זוהר ד.נ ים המלח 86910,~,Yes,,,,14062,13,,,,,10/607/83970027 על שם מועצה אזורית תמר,
ים המלח - בתי מלון,Yes,ועדים מקומיים,,יעקב אקריש,Akrish@ma-tamar.co.il,08-6688944,נווה זוהר ד.נ ים המלח 86910,08-6688844,,10/607/83970027 על שם מועצה אזורית תמר,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",Akrish@ma-tamar.co.il,08-6688944,נווה זוהר ד.נ ים המלח 86910,~,Yes,,,,14061,13,,,,,10/607/83970027 על שם מועצה אזורית תמר,
עין חצבה,Yes,ועדים מקומיים,,יעקב אקריש,Akrish@ma-tamar.co.il,08-6688944,נווה זוהר ד.נ ים המלח 86910,08-6688844,,10/607/83970027 על שם מועצה אזורית תמר,"<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",Akrish@ma-tamar.co.il,08-6688944,נווה זוהר ד.נ ים המלח 86910,~,Yes,,,,14060,13,,,,,10/607/83970027 על שם מועצה אזורית תמר,
נווה זוהר,Yes,ועדים מקומיים,,יעקב אקריש,Akrish@ma-tamar.co.il,08-6688944,נווה זוהר ד.נ ים המלח 86910,08-6688844,,10/607/83970027 על שם מועצה אזורית תמר,"<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",Akrish@ma-tamar.co.il,08-6688944,נווה זוהר ד.נ ים המלח 86910,~,Yes,,,,14059,13,,,,,10/607/83970027 על שם מועצה אזורית תמר,
עין גדי,Yes,ועדים מקומיים,,יעקב אקריש,Akrish@ma-tamar.co.il,08-6688944,נווה זוהר ד.נ ים המלח 86910,08-6688844,,10/607/83970027 על שם מועצה אזורית תמר,"<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",Akrish@ma-tamar.co.il,08-6688944,נווה זוהר ד.נ ים המלח 86910,~,Yes,,,,14058,13,,,,,10/607/83970027 על שם מועצה אזורית תמר,
הר עמשא,Yes,ועדות מקומיות,,אקריש,Akrish@ma-tamar.co.il,08-6688944,נווה זוהר ד.נ ים המלח 86910,08-6688844,,10/607/83970027 על שם מועצה אזורית תמר,"<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",Akrish@ma-tamar.co.il,08-6688944,נווה זוהר ד.נ ים המלח 86910,~,Yes,,,,14057,13,,,,,10/607/83970027 על שם מועצה אזורית תמר,
עין תמר,Yes,ועדים מקומיים,,יעקב אקריש,Akrish@ma-tamar.co.il,08-6688944,נווה זוהר ד.נ ים המלח 86910,08-6688844,,10/607/83970027 על שם מועצה אזורית תמר,"<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",Akrish@ma-tamar.co.il,08-6688944,נווה זוהר ד.נ ים המלח 86910,~,Yes,,,,14056,13,,,,,10/607/83970027 על שם מועצה אזורית תמר,
נאות הכיכר,Yes,ועדים מקומיים,,יעקב אקריש,Akrish@ma-tamar.co.il,08-6688944,נווה זוהר ד.נ ים המלח 86910,08-6688844,,10/607/83970027 על שם מועצה אזורית תמר,"<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",Akrish@ma-tamar.co.il,08-6688944,נווה זוהר ד.נ ים המלח 86910,~,Yes,,,,14055,13,,,,,10/607/83970027 על שם מועצה אזורית תמר,
 מפעלי צמח,Yes,ועדים מקומיים,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
15132
",~,Yes,,,,14054,13,,,,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
